<VOID>Talent|Prerequisites|Aptitude 1|Aptitude 2|Benefit|Detals|Tier|Source|EoS(Null)|Detals|Tier|Source|EoS(Null)
Air of Authority|Fel 30|Fellowship|Leadership|Affect more targets with Command.|Detals|Tier|Source|EoS(Null)
Ambidextrous|Ag 30|Weapon Skill|Ballistic Skill|Use either hand equally well—reduce penalties for using two weapons.|Detals|Tier|Source|EoS(Null)
Berserk Charge|—|Strength|Offence|Gain an extra bonus to hit when charging.|Detals|Tier|Source|EoS(Null)
Blind Fighting|Per 30|Perception|Fieldcraft|Suffer half usual penalties for obscured vision.|Detals|Tier|Source|EoS(Null)
Catfall|Ag 30|Agility|Fieldcraft|Reduce falling damage.|Detals|Tier|Source|EoS(Null)
Cold Hearted|—|Willpower|Defence|Immune to Seduction, resistant to Charm.|Detals|Tier|Source|EoS(Null)
Combat Formation|Int 40|Leadership|Fieldcraft|Use intelligence bonus for Initiative.|Detals|Tier|Source|EoS(Null)
Combat Sense|Per 30|Perception|Fieldcraft|Use Per bonus instead of Ag bonus for Initiative.|Detals|Tier|Source|EoS(Null)
Deadeye Shot|BS 30|Ballistic Skill|Finesse|Reduce penalties for ranged called shots.|Detals|Tier|Source|EoS(Null)
Die Hard|WP 40|Willpower|Defence|Improves chances of surviving Blood Loss.|Detals|Tier|Source|EoS(Null)
Disarm|Ag 30|Weapon Skill|Defence|Force opponent to drop weapon.|Detals|Tier|Source|EoS(Null)
Disturbing Voice|—|Fellowship|Social|+10 to Intimidate, –10 to Charm.|Detals|Tier|Source|EoS(Null)
Double Team|—|General|Offence|Gain additional +10 for outnumbering opponent.|Detals|Tier|Source|EoS(Null)
Enemy|—|General|Social|An organization or group particularly despises the character.|Detals|Tier|Source|EoS(Null)
Ferric Summons|Ferric Lure Implant, Mechanicus Implant|Willpower|Tech|Can summon larger metallic objects. |Detals|Tier|Source|EoS(Null)
Frenzy|—|Strength|Offence|Enter psychotic rage to gain combat bonuses.|Detals|Tier|Source|EoS(Null)
Heightened Senses†|—|Perception|Fieldcraft|Gain +10 bonus to particular sense.|Detals|Tier|Source|EoS(Null)
Iron Jaw|T 40|Toughness|Defence|Test Toughness to overcome Stunning.|Detals|Tier|Source|EoS(Null)
Jaded|WP 40|Willpower|Defence|Ignore mundane horrors.|Detals|Tier|Source|EoS(Null)
Leap Up|Ag 30|Agility|General|Stand as a Free Action.|Detals|Tier|Source|EoS(Null)
Light Sleeper|Per 30|Perception|Fieldcraft|Count as awake even when sleeping.|Detals|Tier|Source|EoS(Null)
Lightning Reflexes|—|Agility|Fieldcraft|Roll twice and take the highest for Initiative rolls.|Detals|Tier|Source|EoS(Null)
Meditation|—|Willpower|Knowledge|Character may enter a trance to ignore Fatigue.|Detals|Tier|Source|EoS(Null)
Mimic|—|Fellowship|Social|Character can copy voices.|Detals|Tier|Source|EoS(Null)
Orthoproxy|—|Willpower|Tech|+20 bonus to resist mind control or interrogation.|Detals|Tier|Source|EoS(Null)
Peer|Fel 30|Fellowship|Social|Character has good reputation amongst chosen group.|Detals|Tier|Source|EoS(Null)
Polyglot|Int 40, Fel 30|Intelligence|Social|Character has innate grasp of languages.|Detals|Tier|Source|EoS(Null)
Psychic Power†|Psyker|Willpower|Psyker|May take one psychic power.|Detals|Tier|Source|EoS(Null)
Quick Draw|—|Agility|Finesse|Draw weapon as Free Action.|Detals|Tier|Source|EoS(Null)
Radiant Presence|Fel 40|Fellowship|Leadership|Character has an inspiring aura.|Detals|Tier|Source|EoS(Null)
Rapid Reload|—|Agility|Fieldcraft|Reduce reload time.|Detals|Tier|Source|EoS(Null)
Resistance†|—|Toughness|Defence|Gain +10 bonus to particular resistance Test.|Detals|Tier|Source|EoS(Null)
Sound Constitution|—|Toughness|General|Gain an additional Wound.|Detals|Tier|Source|EoS(Null)
Street Fighting|WS 30|Weapon Skill|Offence|Add half WS to Critical Damage.|Detals|Tier|Source|EoS(Null)
Sure Strike|WS 30|Weapon Skill|Finesse|Reduce penalties for melee Called Shots.|Detals|Tier|Source|EoS(Null)
Takedown|—|Weapon Skill|Offence|Make special attack to stun opponent.|Detals|Tier|Source|EoS(Null)
Technical Knock|Int 30|Intelligence|Tech|Un-jam gun as Half Action.|Detals|Tier|Source|EoS(Null)
Total Recall|Int 30|Intelligence|Knowledge|Character can remember trivial facts and minor details.|Detals|Tier|Source|EoS(Null)
Unarmed Warrior|WS 35, Ag 35|Strength|Offence|Improves unarmed attacks.|Detals|Tier|Source|EoS(Null)
Unremarkable|—|General|Social|Character is easily forgettable.|Detals|Tier|Source|EoS(Null)
Warp Sense|Psy Rating, Psyniscience, Per 30|Perception|Psyker|Allows Psyniscience Test as Free Action.|Detals|Tier|Source|EoS(Null)
Weapon-Tech|Tech Use +10, Int 40|Intelligence|Tech|Increase potency of advanced weaponry. |Detals|Tier|Source|EoS(Null)
Weapon Training†|—|General|Finesse|Use Weapon Group without penalty.|Detals|Tier|Source|EoS(Null)
<VOID>==================================================Hammer of The Emperor=====================================================================
Ambush|Stealth|Agility|Fieldcraft|Inflict additional Damage on Unaware targets.|Detals|Tier|Source|EoS(Null)
Calculated Barrage|Int 35|Ballistic Skill|Knowledge|Pin targets with Indirect Fire.|Detals|Tier|Source|EoS(Null)
Drop Trooper|Operate (Aeronautica)|Agility|Tech|Bonus to Operate Test for grav-chutes.|Detals|Tier|Source|EoS(Null)
Duelist|WS 35,Sure Strike|Finesse|Weapon Skill|Bonus to engaging single opponents.|Detals|Tier|Source|EoS(Null)
Excellent Cook|Trade (Cook)+10|Fieldcraft|General|Fix a hearty meal to provide squad mates with a bonus to resist Fear and Pinning.|Detals|Tier|Source|EoS(Null)
Heroic Inspiration|Fel 35,Command|Leadership|Social|Use Inspire Special Use of the Command Skill as a Half Action.|Detals|Tier|Source|EoS(Null)
Lasgun Volley|BS 30,Weapon Training (Las)|Ballistic Skill|General|Inflict extra Damage with Ranged Volley Order when wielding a Las weapon.|Detals|Tier|Source|EoS(Null)
Modify Payload|Tech-Use|Intelligence|Tech|Increase Damage, Blast Quality, and Smoke Quality of explosives.|Detals|Tier|Source|EoS(Null)
Pugilist|S 30|Offence|Strength|Feint as a Free Action with Unarmed Standard Attack and Called Shot Actions.|Detals|Tier|Source|EoS(Null)
Push the Limit|Operate (Any),Technical Knock|Agility|Tech|Bonus to Vehicle Manoeuvre Tests with Structural Integrity loss on a Failed Test.|Detals|Tier|Source|EoS(Null)
Swift Suture|Medicae|Finesse|Intelligence|End Blood Loss condition when performing First Aid.|Detals|Tier|Source|EoS(Null)
Vigilant|Per 35|Offence|Perception|Use Perception instead of Agility for Overwatch.|Detals|Tier|Source|EoS(Null)
Wrestler|S 30, Athletics|Strength|General|Use Athletics Skill instead of Strength Characteristic while|Detals|Tier|Source|EoS(Null)
<VOID>==================================================II======================================================================|Detals|Tier|Source|EoS(Null)
Armour-Monger|Int 35,Tech-Use,Trade(Armourer)|Intelligence|Tech|Increase the efficacy of physical armour.|Detals|Tier|Source|EoS(Null)
Battle Rage|Frenzy|Strength|Defence|Parry while frenzied.|Detals|Tier|Source|EoS(Null)
Bulging Biceps|S 45|Strength|Offence|Remove bracing requirement from certain weapons.|Detals|Tier|Source|EoS(Null)
Combat Master|WS 30|Weapon Skill|Defence|Opponents get no bonus for outnumbering the character.|Detals|Tier|Source|EoS(Null)
Counter Attack|WS 40|Weapon Skill|Defence|May attack after successful Parry.|Detals|Tier|Source|EoS(Null)
Crack Shot|BS 50|Ballistic Skill|Finesse|Add +2 to ranged Crit Damage.|Detals|Tier|Source|EoS(Null)
Crippling Strike|WS 50|Weapon Skill|Finesse|Add +2 to melee Crit Damage.|Detals|Tier|Source|EoS(Null)
Deflect Shot|Ag 50|Weapon Skill|Defence|Add WS Bonus to AP against Primitive ranged attacks.|Detals|Tier|Source|EoS(Null)
Exotic Weapon Tr.|—|Intelligence|Finesse|Gain proficiency with one exotic weapon.|Detals|Tier|Source|EoS(Null)
Foresight|Int 30|Intelligence|Knowledge|Contemplate to gain +10 bonus to next Test.|Detals|Tier|Source|EoS(Null)
Furious Assault|WS 35|Weapon Skill|Offence|On a successful WS Test, gain a free second attack.|Detals|Tier|Source|EoS(Null)
Hard Target|Ag 40|Agility|Defence|–20 to hit character when he Charges or Runs.|Detals|Tier|Source|EoS(Null)
Hardy|T 40|Toughness|Defence|Character always heals as if lightly wounded.|Detals|Tier|Source|EoS(Null)
Hatred†|—|Weapon Skill|Social|Gain +10 bonus to attack hated creatures.|Detals|Tier|Source|EoS(Null)
Hip Shooting|BS 40, Ag 40|Ballistic Skill|Finesse|Characters may shoot when moving.|Detals|Tier|Source|EoS(Null)
Hotshot Pilot|Ag 40,Operate (any)|Agility|Fieldcraft|Character can drive or fly anything.|Detals|Tier|Source|EoS(Null)
Independent Target|BS 40|Ballistic Skill|Finesse|Fire at multiple targets more than 10 metres apart.|Detals|Tier|Source|EoS(Null)
Inspire Wrath|Air of Authorit|Fellowship|Leadership|Inspire crowd to hatred and anger.|Detals|Tier|Source|EoS(Null)
Iron Discipline|Fel 30|Fellowship|Leadership|Comrades resist Pinning and Fear.|Detals|Tier|Source|EoS(Null)
